 ALLOGENEIC BONE MARROW TRANSPLANT,14,DRG,,,,,,,INPATIENT,,,807583.2,323033.28,LIFESOURCE,LIFESOURCE COMM,Commercial,305340,,DRG GROUPER,,,,0,368643.54,3872876.38,OTHER,DRG GROUPER,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VASOPNEUMATIC DEVICE THERAPY,97016,HCPCS,420,RC,4200094,CDM,,,OUTPATIENT,,,28,11.2,MS-CAN-MOLINA,MSCAN MOLINA,,9.97,,FEE SCHEDULE,17.93,17.93,18.058,34,9.97,28,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,
VASOPNEUMATIC DEVICE THERAPY,97016,HCPCS,430,RC,4300002,CDM,,,OUTPATIENT,,,28,11.2,TRICARE,TRICARE,,10.75,,FEE SCHEDULE,17.25,17.25,28,1 THROUGH 10,9.97,28,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,
VASOPRESSIN 20 UNIT/ML SOLN 1 ML VIAL,J2598,HCPCS,250,RC,RXRx42023016401,CDM,42023-164-01,NDC,BOTH,0.25,ML,296.34,118.536,AETNA,AETNA,,251.89,85,PERCENT OF BILLED CHARGES,,,,0,14,266.71,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VASOPRESSIN 20 UNIT/ML SOLN 1 ML VIAL,J2598,HCPCS,250,RC,RXRx43598008511,CDM,43598-085-11,NDC,BOTH,0.25,ML,237.07,94.828,MULTIPLAN,MULTIPLAN,,189.66,80,PERCENT OF BILLED CHARGES,,,,0,14,266.71,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VASOPRESSIN 20 UNIT/ML SOLN 1 ML VIAL,J2598,HCPCS,250,RC,RXRx43598008511,CDM,43598-085-11,NDC,BOTH,0.25,ML,237.07,94.828,PPOPLUS,PPOPLUS (ZELIS NETWORK SOLUTIONS),,184.91,78,PERCENT OF BILLED CHARGES,,,,0,14,266.71,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VASOPRESSIN 20 UNIT/ML SOLN 1 ML VIAL,J2598,HCPCS,250,RC,RXRx63323093001,CDM,63323-930-01,NDC,BOTH,0.25,ML,35,14,PHCS,PHCS NETWORK,,31.5,90,PERCENT OF BILLED CHARGES,,,,0,14,266.71,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VASOPRESSIN 20 UNIT/ML SOLN 1 ML VIAL,J2598,HCPCS,250,RC,RXRx70121164205,CDM,70121-1642-5,NDC,BOTH,0.25,ML,157.66,63.064,MPCN,MS PHYSICIAN CARE NETWORK,,78.83,50,PERCENT OF BILLED CHARGES,,,,0,14,266.71,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VASOPRESSIN 40-0.9 UT/100ML-% SOLN 100 ML FLEX CONT,J2601,HCPCS,250,RC,RXRx00338964712,CDM,0338-9647-12,NDC,BOTH,100,ML,828,331.2,MEDADV_PRIMEWELL,PRIMEWELL MEDICARE ADVANTAGE,,2.07,,APC,,,,0,2.01,745.2,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VASOPRESSIN 40-0.9 UT/100ML-% SOLN 100 ML FLEX CONT,J2601,HCPCS,250,RC,RXRx00338964712,CDM,0338-9647-12,NDC,BOTH,100,ML,828,331.2,MOLINA_EXCHANGE,MOLINA MARKETPLACE,,4.32,,APC,,,,0,2.01,745.2,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VASOPRESSIN 40-0.9 UT/100ML-% SOLN 100 ML FLEX CONT,J2601,HCPCS,250,RC,RXRx00338964712,CDM,0338-9647-12,NDC,BOTH,100,ML,828,331.2,MPCN,MS PHYSICIAN CARE NETWORK,,4.62,,APC,,,,0,2.01,745.2,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VASOPRESSIN 40-0.9 UT/100ML-% SOLN 100 ML FLEX CONT,J2601,HCPCS,250,RC,RXRx00338964712,CDM,0338-9647-12,NDC,BOTH,100,ML,828,331.2,PPOPLUS,PPOPLUS (ZELIS NETWORK SOLUTIONS),,645.84,78,PERCENT OF BILLED CHARGES,,,,0,2.01,745.2,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VASOPRESSIN 40-0.9 UT/100ML-% SOLN 100 ML GLASS CONT,J2601,HCPCS,250,RC,RXRx81298855403,CDM,81298-8554-3,NDC,BOTH,100,ML,717.6,287.04,MS-CAN-MAGNOLIA,MSCAN MAGNOLIA (CENTENE),,3.78,,FEE SCHEDULE,,,,0,2.01,745.2,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VASOPRESSIN 40-0.9 UT/100ML-% SOLN 100 ML GLASS CONT,J2601,HCPCS,250,RC,RXRx81298855403,CDM,81298-8554-3,NDC,BOTH,100,ML,717.6,287.04,UNITED,UNITED HEALTHCARE- NON OPTIONS,,535.33,74.6,PERCENT OF BILLED CHARGES,,,,0,2.01,745.2,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VECURONIUM 1 MG/ML SOLN 50 ML SYRINGE,,,250,RC,RXRx08888580850,CDM,8888-5808-50,NDC,BOTH,50,ML,460,184,AETNA,AETNA,,391,85,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VECURONIUM 1 MG/ML SOLN 50 ML SYRINGE,,,250,RC,RXRx08888580850,CDM,8888-5808-50,NDC,BOTH,50,ML,460,184,MPCN,MS PHYSICIAN CARE NETWORK,,230,50,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VECURONIUM 10 MG SOLR 1 EACH VIAL,,,250,RC,RXRx25021068510,CDM,25021-685-10,NDC,BOTH,10,ME,35,14,ADVHEALTH,STATE OF MS BLUE CROSS,,26.25,75,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VECURONIUM 10 MG SOLR 1 EACH VIAL,,,250,RC,RXRx63323078110,CDM,63323-781-10,NDC,BOTH,10,ME,35,14,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,24.5,70,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VECURONIUM 10 MG SOLR 1 EACH VIAL,,,250,RC,RXRx63323078110,CDM,63323-781-10,NDC,BOTH,10,ME,35,14,FIRSTHEALTH,FIRST HEALTH NETWORK,,28,80,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VECURONIUM 10 MG SOLR 1 EACH VIAL,,,250,RC,RXRx63323078121,CDM,63323-781-21,NDC,BOTH,10,ME,35,14,MULTIPLAN,MULTIPLAN,,28,80,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VECURONIUM 10 MG SOLR 1 EACH VIAL,,,250,RC,RXRx63323078121,CDM,63323-781-21,NDC,BOTH,10,ME,35,14,UNITED-OPTIONS,UNITED HEALTHCARE- OPTIONS PLAN,,26.29,75.1,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VECURONIUM 10 MG SOLR 1 EACH VIAL,,,250,RC,RXRx67457043800,CDM,67457-438-00,NDC,BOTH,10,ME,35,14,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,24.5,70,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VECURONIUM 10 MG SOLR 1 EACH VIAL,,,250,RC,RXRx67457043800,CDM,67457-438-00,NDC,BOTH,10,ME,35,14,FIRSTHEALTH,FIRST HEALTH NETWORK,,28,80,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VECURONIUM SOLR 1 EACH VIAL,,,250,RC,RXRx67457043810,CDM,67457-438-10,NDC,BOTH,1,EA,35,14,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,24.5,70,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VECURONIUM SOLR 1 EACH VIAL,,,250,RC,RXRx67457043810,CDM,67457-438-10,NDC,BOTH,1,EA,35,14,MULTIPLAN,MULTIPLAN,,28,80,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VECURONIUM SOLR 1 EACH VIAL,,,250,RC,RXRx67457043810,CDM,67457-438-10,NDC,BOTH,1,EA,35,14,UNITED-OPTIONS,UNITED HEALTHCARE- OPTIONS PLAN,,26.29,75.1,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VEDOLIZUMAB 300 MG SOLR 1 EACH VIAL,J3380,HCPCS,636,RC,RXRx64764030020,CDM,64764-300-20,NDC,BOTH,300,ME,50947.85,20379.14,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,53.28,,APC,,,,0,21.31,45853.07,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VEIN X-RAY LIVER W/HEMODYNAM,75889,HCPCS,320,RC,3203479,CDM,,,OUTPATIENT,,,5902,2360.8,PRIMEWELL,PRIMEWELL COMMERCIAL/PPACA,,5902,,C-APC OUTLIER,,,,0,674,26250,OTHER,REIMBURSEMENT BASED ON THE OUTLIER FROM THE COMPREHENSIVE APC CALCULATION,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENA CAVA FILTER,C1880,HCPCS,278,RC,2780064,CDM,,,OUTPATIENT,,,4778,1911.2,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,3344.6,70,PERCENT OF BILLED CHARGES,,,,0,1911.2,4300.2,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENETOCLAX 10 MG TABS 14 EACH BOX,,,637,RC,RXRx00074056114,CDM,0074-0561-14,NDC,BOTH,10,ME,78.1,31.24,MOLINA_EXCHANGE,MOLINA MARKETPLACE,,31.24,40,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENETOCLAX 100 MG TABS 120 EACH BOTTLE,,,637,RC,RXRx00074057622,CDM,0074-0576-22,NDC,BOTH,100,ME,718.55,287.42,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,610.77,85,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENETOCLAX 50 MG TABS 7 EACH BOX,,,637,RC,RXRx00074056607,CDM,0074-0566-07,NDC,BOTH,50,ME,359.28,143.712,MULTIPLAN,MULTIPLAN,,287.42,80,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENLAFAXINE 100 MG TABS 100 EACH BOTTLE,,,637,RC,RXRx57664039688,CDM,57664-396-88,NDC,BOTH,100,ME,11.58,4.632,AMBETTER,INSURANCE EXCHANGE BY MAGNOLIA,,6.37,55,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENLAFAXINE 150 MG CP24 1 EACH,,,637,RC,RXRx68084071311,CDM,68084-713-11,NDC,BOTH,150,ME,22.86,9.144,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,16,70,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENLAFAXINE 25 MG TABS 100 EACH BOTTLE,,,637,RC,RXRx57664039288,CDM,57664-392-88,NDC,BOTH,25,ME,9.72,3.888,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,6.8,70,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENLAFAXINE 37.5 MG CP24 1 EACH,,,637,RC,RXRx68084069811,CDM,68084-698-11,NDC,BOTH,37.5,ME,18.71,7.484,AMBETTER,INSURANCE EXCHANGE BY MAGNOLIA,,10.29,55,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENLAFAXINE 37.5 MG CP24 100 EACH BOX,,,637,RC,RXRx68084069801,CDM,68084-698-01,NDC,BOTH,37.5,ME,18.71,7.484,PHCS,PHCS NETWORK,,16.84,90,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENLAFAXINE 37.5 MG TABS 1 EACH,,,637,RC,RXRx68084084411,CDM,68084-844-11,NDC,BOTH,37.5,ME,10,4,MOLINA_EXCHANGE,MOLINA MARKETPLACE,,4,40,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENLAFAXINE 37.5 MG TABS 1 EACH,,,637,RC,RXRx68084084411,CDM,68084-844-11,NDC,BOTH,37.5,ME,10,4,UNITED,UNITED HEALTHCARE- NON OPTIONS,,7.46,74.6,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
